"id","titulo","ano","issn","titulo_serie","editora","autor","url"
"9781933762388","Advanced Natural Gas Engineering",2010,,,"Gulf Publishing Company",,"http://www.sciencedirect.com/science/book/9781933762388"
"9780080451596","Coding and Decoding: Seismic Data",2010,"0950-1401","Handbook of Geophysical Exploration: Seismic Exploration","Pergamon",,"http://www.sciencedirect.com/science/book/9780080451596"
"9780444529534","Pressure Transient Formation and Well Testing: Convolution, Deconvolution and Nonlinear Estimation",2010,"0376-7361","Developments in Petroleum Science","Elsevier",,"http://www.sciencedirect.com/science/book/9780444529534"
"9780123737236","The Dusky Dolphin",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123737236"
"9780123738912","Beer in Health and Disease Prevention",2008,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123738912"
"9780123741066","Genetically Modified Plants",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123741066"
"9780123742339","Plant Cell Biology",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123742339"
"9780123748454","Ensuring Global Food Safety",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748454"
"9780123693761","Laboratory Animal Anaesthesia (Third Edition)",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123693761"
"9780123694287","Molecular Diagnostics",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123694287"
"9780123694416","Signal Transduction (Second Edition)",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123694416"
"9780123704542","Natural Killer Cells",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123704542"
"9780123745378","Molecular Diagnostics (Second Edition)",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123745378"
"9780123747273","RNA Methodologies (Fourth Edition)",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123747273"
"9780123749345","Essentials of Genomic and Personalized Medicine",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123749345"
"9780123740922","Optical Networks (Third Edition)",2010,,,"Morgan Kaufmann",,"http://www.sciencedirect.com/science/book/9780123740922"
"9780123742674","Handbook of Digital Forensics and Investigation",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123742674"
"9780123743640","Electronic Design Automation",2009,,,"Morgan Kaufmann",,"http://www.sciencedirect.com/science/book/9780123743640"
"9780123751140","User Experience Re-Mastered",2009,,,"Morgan Kaufmann",,"http://www.sciencedirect.com/science/book/9780123751140"
"9780123813695","On the Development of China's Information Technology Industry",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123813695"
"9781597493062","Cisco CCNA/CCENT Exam 640-802, 640-822, 640-816 Preparation Kit",2009,,,"Syngress",,"http://www.sciencedirect.com/science/book/9781597493062"
"9780123750280","Renewable Energy Systems",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123750280"
"9780123786197","Research on Energy Issues in China",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123786197"
"9780080964454","Configuration Management Metrics",2010,,,"William Andrew Publishing",,"http://www.sciencedirect.com/science/book/9780080964454"
"9780080964546","Fundamental Principles of Engineering Nanometrology",2010,,"Micro and Nano Technologies","William Andrew Publishing",,"http://www.sciencedirect.com/science/book/9780080964546"
"9780123747150","Cognitive Radio Communications and Networks",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123747150"
"9780123748256","Multimodal Signal Processing",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748256"
"9780123748263","SAE and the Evolved Packet Core",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748263"
"9781856176538","Smart Building Systems for Architects, Owners and Builders",2010,,,"Butterworth-Heinemann",,"http://www.sciencedirect.com/science/book/9781856176538"
"9780123740267","The Mekong",2009,,"Aquatic Ecology","Academic Press",,"http://www.sciencedirect.com/science/book/9780123740267"
"9780123748546","Bayesian Inference",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748546"
"9780123745071","Auction Theory (Second Edition)",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123745071"
"9780123745217","Pricing, Risk, and Performance Measurement in Practice",2010,,"The Elsevier and Mondo Visione World Capital Markets","Academic Press",,"http://www.sciencedirect.com/science/book/9780123745217"
"9780123748782","Mergers, Acquisitions, and Other Restructuring Activities (Fifth Edition)",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748782"
"9780123749529","Optimizing Optimization",2010,,"5601/Quantitative Finance","Elsevier",,"http://www.sciencedirect.com/science/book/9780123749529"
"9780123749567","Next Generation Datacenters in Financial Services",2009,,"661R/Complete Technology Guides for Financial Services","Elsevier",,"http://www.sciencedirect.com/science/book/9780123749567"
"9780123749925","The Sortino Framework for Constructing Portfolios",2009,,,"Elsevier",,"http://www.sciencedirect.com/science/book/9780123749925"
"9780123750266","Private Equity and Venture Capital in Europe",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123750266"
"9780080964508","Fatigue and Tribological Properties of Plastics and Elastomers",2010,,,"William Andrew Publishing",,"http://www.sciencedirect.com/science/book/9780080964508"
"9780815515944","Handbook of Silicon Based MEMS Materials and Technologies",2010,,"Micro and Nano Technologies","William Andrew Publishing",,"http://www.sciencedirect.com/science/book/9780815515944"
"9780123741646","Mathematica Navigator (Third Edition)",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123741646"
"9780123747327","Partial Differential Equations & Boundary Value Problems with Maple (Second Edition)",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123747327"
"9780123748904","Cryptographic Boolean Functions and Applications",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748904"
"9780444516671","Philosophy of Technology and Engineering Sciences",2009,,"Handbook of the Philosophy of Science","North-Holland",,"http://www.sciencedirect.com/science/book/9780444516671"
"9780123748959","Bone Cancer",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748959"
"9780123748492","Guide to Research Techniques in Neuroscience",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748492"
"9780750685337","Spacecraft Formation Flying",2010,,,"Butterworth-Heinemann",,"http://www.sciencedirect.com/science/book/9780750685337"
"9780123748973","The Social Validity Manual",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123748973"
"9780123749376","Evidence-Based Counseling and Psychotherapy for an Aging Population",2009,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123749376"
"9780323007672","Principles and Practice of Implant Dentistry",2001,,,"Mosby",,"http://www.sciencedirect.com/science/book/9780323007672"
"9780443071515","Special Care in Dentistry",2007,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780443071515"
"9780443102462","Restorative Dentistry (Second Edition)",2007,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780443102462"
"9781416056546","Meningiomas",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416056546"
"9781416058953","Heart Failure: A Companion to Braunwald's Heart Disease (Second Edition)",2011,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416058953"
"9781416056232","Skeletal Imaging (Second Edition)",2011,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416056232"
"9780123849861","Plant Biochemistry (Fourth Edition)",2011,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123849861"
"9780123820228","Joe Celko's SQL for Smarties (Fourth Edition)",2011,,"The Morgan Kaufmann Series in Data Management Systems","Morgan Kaufmann",,"http://www.sciencedirect.com/science/book/9780123820228"
"9780123849175","Cyber Attacks",2011,,,"Butterworth-Heinemann",,"http://www.sciencedirect.com/science/book/9780123849175"
"9780444528544","Lakes on Mars",2010,,,"Elsevier",,"http://www.sciencedirect.com/science/book/9780444528544"
"9780123820921","Wire Technology",2011,,,"Butterworth-Heinemann",,"http://www.sciencedirect.com/science/book/9780123820921"
"9781437778304","Developments in Surface Contamination and Cleaning: Particle Deposition, Control and Removal",2010,,,"William Andrew Publishing",,"http://www.sciencedirect.com/science/book/9781437778304"
"9781856177078","Design Patterns for Embedded Systems in C",2011,,,"Newnes",,"http://www.sciencedirect.com/science/book/9781856177078"
"9780123785855","Credit Engineering for Bankers (Second Edition)",2011,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123785855"
"9781597496117","Practical Lock Picking",2011,,,"Syngress",,"http://www.sciencedirect.com/science/book/9781597496117"
"9780080968131","Superlattice to Nanoelectronics (Second Edition)",2011,,,"Elsevier",,"http://www.sciencedirect.com/science/book/9780080968131"
"9780123822352","Neurofeedback and Neuromodulation Techniques and Applications",2011,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123822352"
"9780444535696","20th European Symposium on Computer Aided Process Engineering",2010,"1570-7946","Computer Aided Chemical Engineering","Elsevier",,"http://www.sciencedirect.com/science/book/9780444535696"
"9780080421476","Nucleation in Condensed Matter",2010,"1470-1804","Pergamon Materials Series","Pergamon",,"http://www.sciencedirect.com/science/book/9780080421476"
"9780444534439","{Dislocations in Solids, Volume 16}",2010,"1572-4859","Dislocations in Solids","Elsevier",,"http://www.sciencedirect.com/science/book/9780444534439"
"9780323063975","GI/Liver Secrets (Fourth Edition)",2010,,,"Mosby",,"http://www.sciencedirect.com/science/book/9780323063975"
"9780323065245","Anesthesia Secrets (Fourth Edition)",2011,,,"Mosby",,"http://www.sciencedirect.com/science/book/9780323065245"
"9780443066542","Dermatopathology",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9780443066542"
"9780443069826","Practical Surgical Neuropathology",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780443069826"
"9780702029837","Ocular Disease",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9780702029837"
"9781416034292","Diagnostic Pathology of Infectious Disease",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416034292"
"9781416037736","Cardiac Intensive Care (Second Edition)",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416037736"
"9781416045724","Complications of Urologic Surgery (Fourth Edition)",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416045724"
"9781416056461","Principles and Practice of Wrist Surgery",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416056461"
"9781416057666","Diagnostic Immunohistochemistry (Third Edition)",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416057666"
"9781416061274","Ashcraft's Pediatric Surgery (Fifth Edition)",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416061274"
"9781416066408","Pocket Companion to Brenner and Rector's The Kidney (Eighth Edition)",2011,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416066408"
"9780443069031","Tui Na",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780443069031"
"9780443069345","Rheumatology",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780443069345"
"9780443069697","Neuromuscular Rehabilitation in Manual and Physical Therapy",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780443069697"
"9780702030253","Special Tests in Musculoskeletal Examination",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780702030253"
"9780702030314","The Pocket Podiatry Guide: Paediatrics",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780702030314"
"9780702030550","Pregnancy and Childbirth",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780702030550"
"9780702030796","Back Pain - A Movement Problem",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780702030796"
"9780702031328","Chinese Herbal Formulas",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780702031328"
"9780702031335","Chinese Herbal Medicines (Second Edition)",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780702031335"
"9780702031731","Using Whole Body Vibration in Physical Therapy and Sport",2010,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9780702031731"
"9781437709278","Acupuncture for Sports and Trauma Rehabilitation",2011,,,"Churchill Livingstone",,"http://www.sciencedirect.com/science/book/9781437709278"
"9780702027925","Diagnostic Techniques in Equine Medicine (Second Edition)",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9780702027925"
"9780702027970","Veterinary Ocular Pathology",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9780702027970"
"9780702028946","Handbook of Small Animal Radiology and Ultrasound (Second Edition)",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9780702028946"
"9781416031833","Cancer Management in Small Animal Practice",2010,,,"W.B. Saunders",,"http://www.sciencedirect.com/science/book/9781416031833"
"9780123813329","Heart Development and Regeneration",2010,,,"Academic Press",,"http://www.sciencedirect.com/science/book/9780123813329"
"9780123750938","Light & Skin Interactions",2010,,,"Morgan Kaufmann",,"http://www.sciencedirect.com/science/book/9780123750938"
"9780123756978","SQL Clearly Explained (Third Edition)",2010,,"The Morgan Kaufmann Series in Data Management Systems","Morgan Kaufmann",,"http://www.sciencedirect.com/science/book/9780123756978"
"9780123786241","Thoughts on Interaction Design",2010,,,"Morgan Kaufmann",,"http://www.sciencedirect.com/science/book/9780123786241"
"9780123814180","The Essential Persona Lifecycle: Your Guide to Building and Using Personas",2010,,,"Morgan Kaufmann",,"http://www.sciencedirect.com/science/book/9780123814180"
"9781597494311","Microsoft Virtualization",2009,,,"Syngress",,"http://www.sciencedirect.com/science/book/9781597494311"
"9781597495417","Seven Deadliest Wireless Technologies Attacks",2010,,,"Syngress",,"http://www.sciencedirect.com/science/book/9781597495417"
"9781597495455","Seven Deadliest Social Network Attacks",2010,,,"Syngress",,"http://www.sciencedirect.com/science/book/9781597495455"
"9781597495479","Seven Deadliest Unified Communications Attacks",2010,,,"Syngress",,"http://www.sciencedirect.com/science/book/9781597495479"
"9781597495493","Seven Deadliest Network Attacks",2010,,,"Syngress",,"http://www.sciencedirect.com/science/book/9781597495493"
"9781597495530","Seven Deadliest USB Attacks",2010,,,"Syngress",,"http://www.sciencedirect.com/science/book/9781597495530"
"9781856177009","Electronics Explained",2010,,,"Newnes",,"http://www.sciencedirect.com/science/book/9781856177009"
"9781856178037","Reservoir Engineering Handbook (Fourth Edition)",2010,,,"Gulf Professional Publishing",,"http://www.sciencedirect.com/science/book/9781856178037"
"9781856179218","Digital Signal Processing 101",2010,,,"Newnes",,"http://www.sciencedirect.com/science/book/9781856179218"
"9780080965130","CdTe and Related Compounds; Physics, Defects, Hetero- and Nano-structures, Crystal Growth, Surfaces and Applications, Part II",2010,,"European Materials Research Society Series","Elsevier",,"http://www.sciencedirect.com/science/book/9780080965130"
"9780815520375","Handbook of Physical Vapor Deposition (PVD) Processing (Second Edition)",2010,,,"William Andrew Publishing",,"http://www.sciencedirect.com/science/book/9780815520375"
"9780955251245","Lipid Analysis (Fourth Edition)",2010,,"Oily Press Lipid Library Series","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9780955251245"
"9781845694388","Improving the Safety and Quality of Milk: Milk Production and Processing",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694388"
"9781845694715","Delivering Performance in Food Supply Chains",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694715"
"9781845694753","Winemaking Problems Solved",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694753"
"9781845694760","Sensory Analysis for Food and Beverage Quality Control",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694760"
"9781845694845","Managing Wine Quality: Viticulture and Wine Quality",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694845"
"9781845694951","Chemical Deterioration and Physical Instability of Food and Beverages",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694951"
"9781845695514","Case Studies in Novel Food Processing Technologies",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695514"
"9781845695521","Environmental Assessment and Management in the Food Industry",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695521"
"9781845695637","Cereal Grains",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695637"
"9781845695675","Consumer-Driven Innovation in Food and Personal Care Products",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695675"
"9781845696450","Separation, Extraction and Concentration Processes in the Food, Beverage and Nutraceutical Industries",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845696450"
"9781845696481","Oxidation in Foods and Beverages and Antioxidant Applications: Understanding Mechanisms of Oxidation and Antioxidant Activity",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845696481"
"9781845696764","Innovations in Food Labelling",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845696764"
"9781845697464","Freeze-Drying of Pharmaceutical and Food Products",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845697464"
"9781845697983","Managing Wine Quality: Oenology and Wine Quality",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845697983"
"9781845698065","Improving the Safety and Quality of Milk: Improving Quality in Milk Products",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845698065"
"9781845699833","Oxidation in Foods and Beverages and Antioxidant Applications: Management in Different Industry Sectors",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845699833"
"9781845695101","Bioalcohol Production",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695101"
"9781845695118","Understanding and Mitigating Ageing in Nuclear Power Plants",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695118"
"9781845695156","Advanced Power Plant Materials, Design and Technology",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695156"
"9781845695279","Stand-Alone and Hybrid Wind Energy Systems",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695279"
"9781845695330","Developments and Innovation in Carbon Dioxide (CO2) Capture and Storage Technology",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695330"
"9781845695422","Geological Repository Systems for Safe Disposal of Spent Nuclear Fuels and Radioactive Waste",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695422"
"9781845695910","Biodiesel Science and Technology",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695910"
"9781845697976","Developments and Innovation in Carbon Dioxide (CO2) Capture and Storage Technology",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845697976"
"9781845691851","Forensic Polymer Engineering",2010,,"Woodhead Publishing Series in Textiles","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845691851"
"9781845693619","Tribology and Dynamics of Engine and Powertrain",2010,,"Woodhead Publishing Series in Biomaterials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845693619"
"9781845693978","Textiles, Polymers and Composites for Buildings",2010,,"Woodhead Publishing Series in Textiles","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845693978"
"9781845693992","Blast Protection of Civil Infrastructures and Vehicles Using Composites",2010,,"Woodhead Publishing Series in Civil and Structural Engineering","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845693992"
"9781845694166","Modelling and Predicting Textile Behaviour",2010,,"Woodhead Publishing Series in Textiles","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694166"
"9781845694357","Advances in Structural Adhesive Bonding",2010,,"Woodhead Publishing Series in Welding and Other Joining Technologies","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694357"
"9781845694371","Applications of Nonwovens in Technical Textiles",2010,,"Woodhead Publishing Series in Textiles","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694371"
"9781845694449","Advances in Yarn Spinning Technology",2010,,"Woodhead Publishing Series in Textiles","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694449"
"9781845694500","Friction Stir Welding",2010,,"Woodhead Publishing Series in Welding and Other Joining Technologies","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694500"
"9781845694708","Drug-Device Combination Products",2010,,"Woodhead Publishing Series in Biomaterials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694708"
"9781845694746","Advances in Laser Materials Processing",2010,,"Woodhead Publishing Series in Welding and Other Joining Technologies","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694746"
"9781845694975","Vehicle Noise and Vibration Refinement",2010,,"Woodhead Publishing Series in Composites Science and Engineering","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694975"
"9781845695026","Fire Toxicity",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695026"
"9781845695316","High-Energy Ball Milling",2010,,"Woodhead Publishing Series in Electronic and Optical Materials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695316"
"9781845695347","Advanced Piezoelectric Materials",2010,,"Woodhead Publishing Series in Electronic and Optical Materials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695347"
"9781845695361","Failure Mechanisms of Advanced Welding Processes",2010,,"Woodhead Publishing Series in Welding and Other Joining Technologies","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695361"
"9781845695378","Surface Engineering of Light Alloys",2010,,"Woodhead Publishing Series in Metals and Surface Engineering","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695378"
"9781845695606","Non-Destructive Evaluation of Reinforced Concrete Structures: Deterioration Processes and Standard Test Methods",2010,,"Woodhead Publishing Series in Civil and Structural Engineering","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695606"
"9781845695620","Sintering of Advanced Materials",2010,,"Woodhead Publishing Series in Metals and Surface Engineering","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695620"
"9781845695798","Optical Switches",2010,,"Woodhead Publishing Series in Electronic and Optical Materials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845695798"
"9781845696924","Welding and Joining of Magnesium Alloys",2010,,"Woodhead Publishing Series in Welding and Other Joining Technologies","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845696924"
"9781845697129","The Risk Management of Safety and Dependability",2010,,"Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845697129"
"9781845697136","The Independent Airport Planning Manual",2010,,"Woodhead Publishing Series in Metals and Surface Engineering","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845697136"
"9781845697440","Advanced Direct Injection Combustion Engine Technologies and Development: Diesel Engines",2010,,"Woodhead Publishing Series in Biomedicine","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845697440"
"9781845697556","A Quick Guide to API 510 Certified Pressure Vessel Inspector Syllabus",2010,,"Woodhead Publishing Series in Composites Science and Engineering","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845697556"
"9781845699505","Non-Destructive Evaluation of Reinforced Concrete Structures: Non-Destructive Testing Methods",2010,,"Woodhead Publishing Series in Civil and Structural Engineering","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845699505"
"9780857090799","High Temperature Deformation and Fracture of Materials",2010,,"Woodhead Publishing Series in Energy","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9780857090799"
"9781845692247","Medical and Healthcare Textiles",2010,,"Woodhead Publishing Series in Textiles","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845692247"
"9781845693794","Smart Textile Coatings and Laminates",2010,,"Woodhead Publishing Series in Textiles","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845693794"
"9781845694173","Regenerative Medicine and Biomaterials for the Repair of Connective Tissues",2010,,"Woodhead Publishing Series in Biomaterials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694173"
"9781845694340","Metals for Biomedical Devices",2010,,"Woodhead Publishing Series in Biomaterials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694340"
"9781845694364","Biomedical Composites",2010,,"Woodhead Publishing Series in Biomaterials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694364"
"9781845694432","Biomaterials and Regenerative Medicine in Ophthalmology",2010,,"Woodhead Publishing Series in Biomaterials","Woodhead Publishing",,"http://www.sciencedirect.com/science/book/9781845694432"
